id,query,answer_ids
10328,"Which medications, designed to target genes or proteins associated with the transport of long-chain fatty acids, enhance the duration of drug presence on the ocular surface?",[18423]
11172,Identify pathways associated with the activation of matrix metalloproteinases that also exhibit interaction with a common gene or protein.,[62404]
2260,I'm looking for tablet or capsule medications for porphyrin metabolism disorders like Acute Intermittent Porphyria and others that target the UROD gene or protein. Any recommendations?,[18967]
2304,"Can you identify genes and proteins associated with metal ion binding that play a role in the disease involving left ventricular non-compaction, seizures, hypotonia, cataracts, and developmental delays?",[1636]
11016,Which medication acts by engaging with genes or proteins associated with kinase binding to convert plasminogen into an active fibrinolytic enzyme?,"[16589, 16590, 16591, 16592, 14801, 16595, 14717]"
4293,Can you supply a list of genes and proteins involved in Wolf-Hirschhorn syndrome that also contribute to skeletal development processes?,[6061]
7098,Which cellular structures are involved in interactions with genes or proteins that are the targets of Ligandrol?,"[56263, 56073, 56107, 56173, 56241, 55635, 56436, 124249]"
7334,"Is there an interaction between Hypoxia-Inducible Factor 1 Alpha (HIF-1α) and Histone Deacetylase 2 (HDAC2), and are they collectively involved in the physiological responses to hypoxic conditions?",[497]
526,"What conditions are associated with the FOXP2 gene and manifest with apraxia, where the ability to carry out tasks or movements is compromised despite normal desire and physical ability?",[38062]
5365,"What disease is associated with mutations in the TRPM6 gene, often resulting in hypomagnesemia manifesting as seizures, cognitive issues, and anorexia due to low magnesium levels in blood and urine?","[32060, 38351]"
7250,"Which health conditions linked to the SNAP25 gene manifest through repeated temporary disturbances in sensory, motor, or cognitive functions, and are also known to have contraindications with the antipsychotic medication Clozapine?",[35641]
3396,Can you list medications that interact with the GAMT gene/protein?,[16283]
10084,Which cellular structures associate with the genes or proteins that Avapritinib targets?,"[124321, 55842, 56322, 56263, 55976, 126351, 55573, 56214, 124245]"
5201,I'm in need of a solid-form medication that specifically targets the FDPS enzyme for my patient's treatment. Could you list the available drugs that have a known binding affinity for FDPS?,"[17728, 17729, 17730, 17731, 17732, 17733, 17734, 17735, 17736, 17737, 17738, 14667, 17727]"
442,Could you list the potential diseases associated with APOL1 gene mutations that could result in focal segmental glomerulosclerosis?,"[30104, 38873, 28016, 29534]"
9292,"Which pharmaceutical solvent, known to be a solid fatty acid, is associated with genes or proteins that facilitate interaction with the apical cortex in commercial drug applications?",[14360]
8200,Which gene or protein is associated with glucose transportation across the blood-brain barrier and encodes for a transporter that facilitates the movement of drugs that exhibit synergistic effects with Phenolphthalein?,[8385]
8364,Identify genes or proteins that exhibit interaction with microsomal triglyceride transfer protein (MTTP) and are concurrently linked to a mutually shared disease.,[790]
911,What are the genes and proteins that interact with PEG10 and are likely active in the nucleolus?,"[3696, 57529, 11859]"
6125,"Which gene or protein interacts with both PRKCB and glycogen synthase kinase-3 beta, exhibiting a shared effect or phenotype as documented in prior research?",[33]
4174,Can you find a biological pathway that engages with the GTF2H5 gene/protein and is also a subordinate or superior in relation to the RNA Polymerase I Promoter Clearance pathway?,[128939]
6041,Search for diseases not treated by any drugs that are linked to abnormalities of the falx cerebri.,[27804]
875,Please find genes or proteins that bind to U6atac snRNA and are linked to Lowry-Wood syndrome etiology.,[35419]
409,"Could you assist in identifying a hereditary neurological disease that causes night blindness, severe vision impairment from early childhood, and learning challenges?","[32979, 28653, 28902]"
2187,What is the name of the inherited lipid metabolism disorder linked to changes in sphingolipid biosynthesis?,[98936]
4010,"What is the pulmonary disease subclass characterized by symptoms of infection, such as fever and rash?",[96041]
11139,Which phenotypic manifestations or effects are associated with the subtype of warty dyskeratoma?,[22574]
10363,Search for pathways involved in electron transfer from NADPH to ferredoxin where both intermediates interact with a common gene or protein.,[62392]
3071,"Which disease, associated with or a subtype of glossopharyngeal nerve dysfunction, results in reduced taste perception in the back of the tongue and throat?",[96000]
1020,"I have flat red spots that show up on various parts of my body such as my face, head, chest, and back. Given my family's history of neurovascular diseases and symptoms similar to capillary hemangioma, what potential condition could I be experiencing?",[99023]
3115,"I'm experiencing joint pain accompanied by swelling, fever, and inflammation that my doctor attributes to prostaglandins. Additionally, I'm concerned about medications aggravating my fuzzy eyesight and potential blood clotting complications. Could you recommend treatments effective for my symptoms while minimizing these specific side effects?","[14204, 14158]"
10207,Which cellular structures engage with the genetic material or proteinaceous substances that are influenced by interactions with Sinapoyl coenzyme A?,[55522]
5082,"Would you please find genes or proteins that directly bind to other proteins, participate in the antimicrobial peptide pathway, and are specifically expressed in human tear gland epithelial cells?",[12613]
1144,Which diseases linked to Mendelian inheritance show symptoms like Z-band streaming?,[28689]
6289,Which anatomical structures lack the expression of genes or proteins linked to Avascular Necrosis development?,[66747]
9011,Which gene or protein is consistently unexpressed in the nephron tubules of adult mammalian kidneys?,[10542]
9175,Which gene or protein is responsible for the organic cation transport and furthermore facilitates the movement of drugs that exhibit synergistic effects when combined with Equilenin?,"[5481, 12713, 11017, 3183, 59380, 4152]"
8083,Which medications act on the genetic or protein partners associated with the enzymatic function of 5-amino-4-imidazole carboxamide ribonucleotide transformylase?,[14921]
61,"What is the rare disease characterized by mucinous deposits and malignant squamous cell clusters, which is etiologically linked to invasive breast cancer?",[96113]
9785,Which anatomical structures lack the expression of genes or proteins that are linked to the condition known as Spastic gait?,"[63921, 64470, 67302]"
8673,"Could you provide the name of a medication that interacts with recycling endosomes and is prescribed for managing hyperphosphatemia as well as iron deficiency anemia in adult chronic kidney disease patients, by affecting the relevant genes or proteins in this intracellular structure?","[14120, 14119]"
9429,"Which gene or protein is present in the lacrimal gland but not expressed in the cerebellar vermis, and is responsible for the production of lactotransferrin, the iron-binding protein located in neutrophils' secondary granules, and provides antimicrobial effects alongside a crucial function in the innate immune response?",[3233]
9855,What common genes do Rimexolone and CRx-119 both affect?,[1424]
8717,Identify the common genetic targets that both (2S)-3-[(9H-fluoren-9-ylideneamino)oxy]-2-methylpropanoic acid and 1-Naphthylamine-5-sulfonic acid act upon.,[111]
9931,Which proteins responsible for structural chromosome maintenance and implicated in the cohesion of sister chromatids have documented interactions with SMC3 and have also been linked to a common disease?,"[2345, 1314, 3965]"
1418,"Which secondary pathway, associated with selective autophagy, involves PRKAB2 interaction and regulates lipid metabolism?",[129261]
3835,Could there be a disease that manifests with tumors and is associated with skin irritation issues akin to dermatitis?,[31187]
1864,"Can you find genes or proteins that interact with FGFR2, are involved in RNA binding, and play a role in controlling mRNA stability?","[845, 9479]"
4784,"Can you find genes or proteins that interact with VAPA, possess zinc ion binding capabilities, are located at chromosomal region 2q33.3, and have domains similar to DBF4-type zinc fingers?",[4062]
3449,"What possible conditions could be linked to symptoms of reduced immunity, deteriorating neurological function, and pronounced synophrys (thick, joined eyebrows), particularly considering a family history of genetic disorders involving congenital nervous system abnormalities and multiple congenital anomalies?",[32559]
2613,"Can you find any genes or proteins that interact with calcium ion binding, are located in the extracellular space, and play a role in cerebral cortex development?",[57688]
3951,Can you help me find a pill or tablet that targets the HPGDS gene/protein for interaction?,"[18720, 18721, 15586, 18723, 18722, 18724, 18725, 18726, 14229, 17528, 14877, 18719]"
2777,"I'm seeking a gene or protein that shows serine-type endopeptidase activity, participates in the IGF transport and uptake regulation mediated by IGFBPs, and also triggers Factor IX to initiate thrombin generation and fibrin clotting without Factor XI involvement.",[11542]
7897,"Search for biological pathways involving the interaction and activation of FGFR4 through ligand binding, where FGFR4 and its ligand both engage with the same gene or protein.",[127989]
1900,"What disease, associated with alterations in the IRF6 gene, presents features like cleft lip and palate, lip pits, popliteal pterygium, syndactyly, cryptorchidism, anomalous scrotum, and hypoplastic labia majora?","[31315, 28805, 38207]"
5716,What pathways are linked to 'Sensory processing of sound by outer hair cells of the cochlea' within the sensory perception hierarchy?,[63021]
155,"What disease is associated with the CD151 gene, presents as Stage 5 chronic kidney disease and falls under glomerular basement membrane disorders?",[30368]
3681,"Could you find details on the uncommon neurovascular condition characterized by enlarged jugular bulb or confluens sinuum that can cause sinus thrombosis, venous infarction, cerebral bleeding, and heart failure, and might lead to symptoms like macrocrania and hydrocephalus, with a chance of self-resolution? It should also be related to, maybe as a variant of, arteriovenous hemangioma/malformation.",[98780]
10593,Which biological process shares a similar interaction pattern with genes or proteins as seen in tRNA (guanine-N7) methylation?,"[41320, 42057, 101164, 41549, 41550, 42057, 101164]"
6961,Which phenotype or effect is associated with a specific subtype of pituitary dwarfism?,"[90401, 22759, 23560, 22953, 22478, 88949, 25655, 22488]"
4930,Could there be a hereditary disease linked to red-green color blindness in my family history?,[38830]
7747,Search for conditions lacking any approved treatments that correlate with elevated or decreased alpha-fetoprotein concentrations.,[27699]
6805,Which medication operates through gene or protein transport pathways similar to Aripiprazole and is additionally effective in combating herpesviruses?,"[14473, 14484, 14072, 14170, 14237]"
4428,"Can you list genes or proteins that interact with ubiquitin ligase, are involved with the cell’s external environment, and are linked to short stature phenotypes?",[57841]
