id,query,answer_ids
5624,"What are some other studies on soliton propagation properties referenced in the paper titled ""Wave localization in two dimensional parabolic periodic refractive index profiles: a 4th order Runge–Kutta study""?","[1714677, 1712487]"
11943,"Can you locate publications with a shared author from the paper titled ""Magneto-Hydrodynamical Effects on Nuclear Deflagration Fronts in Type Ia Supernovae"", that are also within the identical research field and focus on the topic of molecular cloud cores mass estimation?","[1594904, 1361169, 1435988]"
12734,"Find 2018 Physics papers discussing compact astrophysical objects from ITM University, Gurgaon, Haryana.","[1808494, 1755758, 1810429, 1776406, 1799421]"
6853,"Optoelectronics research papers from the University of Connecticut Health Center, published in 2010, focusing on 3D microstructures embedded with gold nanorods.",[1502555]
4802,Find 2017 publications from Harran University describing soliton solutions.,"[1788552, 1731651, 1721867, 1767037]"
10765,Show me publications by Meike Hauschildt focusing on the analysis of failure mechanisms.,[1260538]
2995,Find papers related to boundary integral equation methods in Physics from China Academy of Launch Vehicle Technology.,"[1706057, 1844691, 1727767]"
7675,Does the Shanghai University of Finance and Economics have any Physics papers discussing the analysis of user interaction behavior data from 2013?,[1518993]
12650,"Show me papers from the coauthors of ""Latest results from KamLAND-Zen second phase"" that also delve into the topic of cosmogenic backgrounds in neutrino detectors or strategies to mitigate cosmogenic backgrounds in comparable experimental setups.",[1212377]
6937,"What other research papers discussing efficient second-harmonic generation have referenced or been referenced in the study ""Photorefractive damage resistance in Ti:PPLN waveguides with ridge geometry""?","[1611993, 1383585, 1615263]"
5740,"Can you find publications from coauthors of the paper ""Solution uniquity of an inverse VLF problem: A case-study of the polar, ground-based, VLF radio signal disturbances caused by the ultra-energetic relativistic electron precipitations and of their southern boundaries"" that also focus on VLF radio signals?",[1682026]
11827,"Are there any 2011 publications in the journal Foundations of Physics related to quantum mechanics, specifically classical representations of quantum dynamics, from authors affiliated with Linnaeus University?",[1331196]
7711,"Are there any papers co-authored by the same individual who contributed to ""Non-Markovian spontaneous emission interference near a MoS2 nanodisk,"" published in Optics Communications in 2015, and is in the same field of study?",[1410147]
1686,Did researchers from Alma College publish any papers in 2015 about impact experiments on porous materials such as pumice within the field of Pumice studies?,[1301030]
4966,"What research papers have unveiled the rear-emitter back-junction solar cells, and are referenced in the study ""A simulation study of the micro-grooved electrode structure for back-contact back-junction silicon solar cell""?","[1238329, 1221251]"
10601,Could you show me some research papers related to Error Vector Magnitude and discuss channel estimation within IMDD-OQAM-OFDM systems?,[1621524]
5890,Show me publications by M. Kunzer on improving interface quality through strain relaxation to decrease dislocation density.,"[1406555, 1384222]"
12980,Find papers published by coauthors of 'Electronic structures of graphane sheets with foreign atom substitutions' that delve into the magnetic and dielectric characteristics of these materials.,"[1366953, 1252298, 1456141, 1841880, 1433182]"
3907,"I would like to find articles related to Quantum Image Processing, specifically those discussing the acceleration of image feature extraction using quantum parallelism. I am especially interested in studies that investigate the addition of numerals while they are in a state of superposition and how quantum computing can expedite this process.",[1813204]
1956,What are some papers from University of Defence researchers suggesting new methods for generating Airy beams?,[1223400]
2721,Are there any FM Global-related research papers in Physics studying the impact of precipitation data precision on flood modeling?,[1457594]
3863,"Could you show me some papers discussing the application of Monte Carlo methods in planning radiation therapy, specifically in the context of Intraoperative electron radiation therapy?","[1564406, 1256055]"
6783,Show me publications by Benjamin Aroeti on the subject of cell morphology detection.,"[1333065, 1309364]"
11693,Does the Reva Institute of Technology and Management have any publications on the improvement of nucleate boiling heat transfer performance using nanofluids?,"[1356012, 1290861, 1437510, 1254191]"
2645,"I am looking for publications that both cite ""Knot invariants and M-theory: Hitchin equations, Chern-Simons actions, and surface operators"" and address the topic of supersymmetry in the context of resolved conifolds.","[1499976, 1338425, 1365290]"
5588,"Can you show me the papers authored by the co-authors of ""A survey of Radio Recombination Lines using Ooty Radio Telescope at 328 MHz in the Inner Galaxy”, which also explore additional observations of radio recombination lines in the Galactic plane?","[1461234, 1415916, 1616847]"
1832,"Find publications that either cite or are cited by ""Extremal Black Holes in Dynamical Chern-Simons Gravity"" pertaining to the analysis of alternative theories of gravity.","[1315072, 1571586, 1569475, 1446924, 1562639, 1617520, 1365905, 1305586]"
12498,"Show me publications from UAM Azcapotzalco researchers on superlattice selection rules that were written in 2012 or earlier, with particular emphasis on a specific paper from 2012 on this very subject.",[1495311]
8741,Are there any research papers from Teikyo Heisei University exploring the potential link between small main-belt asteroids and the concept of Coincidence?,[1575937]
9967,Searching for papers from Yarmouk University exploring AlN materials through chemical vapor deposition techniques.,"[1354729, 1270426, 1377075, 1750454]"
8625,Search for publications by Takafumi Yoshida on the temperature dependence of trapped magnetic fields in titanium-doped magnesium boride bulk samples.,"[1613563, 1673631]"
9803,Publications authored by Rolf C. Hagen Group on the topic of polarizing diffractive optical elements,"[1294984, 1710292, 1769958]"
325,"Looking for papers that have one or more co-authors in common with the study ""Chirped bright and dark solitons of electric and magnetic coupled nonlinear field equations in negative-index metamaterials"". These papers should also be specifically discussing soliton dynamics in the context of protein structures and be in the same discipline.","[1789316, 1702615]"
8589,"Can you help locate articles that have at least one common author with the paper titled ""Instanton corrections to the effective action of N = 4 SYM"", fall under an identical research domain, and include discussions on one-loop corrections parallel to the instanton corrections specified within its title? I have a keen interest in any subsequent investigations by the same authors on advanced effects in supersymmetric gauge theories.","[1602977, 1627714, 1219209, 1639130, 1410111]"
8891,Show me publications by J. Herfort on the study of spin dynamics within spin light-emitting diodes.,"[1279609, 1422316, 1428437]"
241,"Find publications that discuss vortex interactions and are referenced in the study titled ""The cubic-quintic-septic complex Ginzburg-Landau equation formulation of optical pulse propagation in 3D doped Kerr media with higher-order dispersions.",[1507886]
1561,Show me articles related to the Writing process that assess methods for 2D magnetic storage.,[1255339]
3530,Which publications from Ewing Christian College authors investigate frustration and correlation impacts within an expanded Falicov-Kimball framework?,"[1534761, 1232906, 1240972, 1619895, 1575996]"
7592,"What other publications are there from the co-authors of ""Quarter-Mode Substrate Integrated Waveguide and Its Application to Antennas Design"" that explore channel equalization methods?","[1399425, 1618898, 1777733]"
1405,Show me papers in the field of quantum mechanics and atomic devices that discuss random amplification and share a co-author with 'Magic frequency enabled by quantum interference for a dual atomic device'.,"[1813059, 1754766]"
3828,Are there any Astrophysics papers from researchers at American University reporting on the findings of LIGO's second observational run?,"[1870465, 1794789, 1783656, 1815881, 1574540, 1869328, 1869874, 1856852, 1870101, 1833686, 1870492, 1853695]"
10482,"Could you show me papers studying storm systems that produce heavy rain and have been referenced in ""Sensitivity of Precipitation Accumulation in Elevated Convective Systems to Small Changes in Low-Level Moisture""?","[1449980, 1393156]"
